iter,step,s,a,r,Q_[0 7]_0,Q_[0 7]_1,Q_[0 7]_2,Q_[0 7]_3,Q_[2 4]_0,Q_[2 4]_1,Q_[2 4]_2,Q_[2 4]_3,Q_[0 4]_0,Q_[0 4]_1,Q_[0 4]_2,Q_[0 4]_3,Q_[1 4]_0,Q_[1 4]_1,Q_[1 4]_2,Q_[1 4]_3,Q_[0 6]_0,Q_[0 6]_1,Q_[0 6]_2,Q_[0 6]_3,Q_[0 5]_0,Q_[0 5]_1,Q_[0 5]_2,Q_[0 5]_3,Q_[0 8]_0,Q_[0 8]_1,Q_[0 8]_2,Q_[0 8]_3,Q_[5 5]_0,Q_[5 5]_1,Q_[5 5]_2,Q_[5 5]_3,Q_[5 4]_0,Q_[5 4]_1,Q_[5 4]_2,Q_[5 4]_3,Q_[5 1]_0,Q_[5 1]_1,Q_[5 1]_2,Q_[5 1]_3,Q_[5 0]_0,Q_[5 0]_1,Q_[5 0]_2,Q_[5 0]_3,Q_[5 6]_0,Q_[5 6]_1,Q_[5 6]_2,Q_[5 6]_3,Q_[5 3]_0,Q_[5 3]_1,Q_[5 3]_2,Q_[5 3]_3,Q_[5 2]_0,Q_[5 2]_1,Q_[5 2]_2,Q_[5 2]_3,Q_[4 3]_0,Q_[4 3]_1,Q_[4 3]_2,Q_[4 3]_3,Q_[3 3]_0,Q_[3 3]_1,Q_[3 3]_2,Q_[3 3]_3,Q_[0 0]_0,Q_[0 0]_1,Q_[0 0]_2,Q_[0 0]_3
0,22,[0 8],2,1.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,74,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863543,0.0,0.4986313870325707,0.27842405680879384,,,,,,,,,,,,
2,19,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863543,0.0,0.4986313870325707,0.27842405680879384,0.19232841123699573,0.0,0.24018911885021255,0.5674824699127916,0.0,0.0,1.0,0.0,,,,
3,9,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.48148994438184933,0.5185100556181508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2229445561586354,0.0,0.4986313870325707,0.27842405680879384,0.31471760103521595,0.0,0.3930347201077521,0.2922476788570321,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,10,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863543,0.0,0.4986313870325707,0.27842405680879384,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,9,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863545,0.0,0.4986313870325707,0.2784240568087939,0.22592229503861347,0.0,0.5642856052824736,0.2097920996789129,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,10,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.48148994438184933,0.5185100556181508,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863545,0.0,0.4986313870325707,0.2784240568087939,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,13,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863543,0.0,0.4986313870325707,0.27842405680879384,0.11868491555971174,0.0,0.44465856769291856,0.43665651674736977,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,10,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22294455615863543,0.0,0.49863138703257076,0.27842405680879384,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,14,[5 0],0,5.0,0.0,0.5185100556181507,0.4814899443818493,0.0,0.159686461237614,0.45194222801598205,0.38837131074640396,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20409779301451272,0.175994212038674,0.3832189093748334,0.23668908557197996,0.0,0.0,0.0,1.0,0.0,0.0,0.4814899443818493,0.5185100556181507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2229445561586354,0.0,0.49863138703257076,0.27842405680879384,0.12265266052470027,0.0,0.408465697003518,0.46888164247178177,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
